BirdID,File,Month,Day,Year,date,ElapsedTime_sec,Time_hours,WVP_kPa,VCO2_dPerc,ChamberTemp_C,AmbientTemp_C,BP_kPa,VO2_dPerc,VO2_ml_min
CAAN08,CAAN08_0707_0222_analyzed,7,8,2021,7/8/2021,160.5047,2.10125,1.47921,0.141205,14.75687,13.54894,100.9753,0.130893,1.37875
CAAN08,CAAN08_0707_0222_analyzed,7,8,2021,7/8/2021,160.7547,2.10132,1.47564,0.138385,14.75316,13.59836,100.9556,0.132239,1.3929
CAAN08,CAAN08_0707_0222_analyzed,7,8,2021,7/8/2021,161.0047,2.10139,1.476,0.138908,14.81576,13.55705,100.9651,0.126709,1.33475
CAAN08,CAAN08_0707_0222_analyzed,7,8,2021,7/8/2021,161.2547,2.10146,1.47613,0.140256,14.81797,13.53459,100.9558,0.130801,1.37778
CAAN08,CAAN08_0707_0222_analyzed,7,8,2021,7/8/2021,161.5047,2.10153,1.47755,0.141979,14.81244,13.5338,100.9694,0.131705,1.38729
CAAN08,CAAN08_0707_0222_analyzed,7,8,2021,7/8/2021,161.7547,2.1016,1.47757,0.139541,14.81371,13.54025,100.9558,0.1333,1.40405
CAAN08,CAAN08_0707_0222_analyzed,7,8,2021,7/8/2021,162.0047,2.10167,1.47743,0.139483,14.83519,13.55265,100.9934,0.130597,1.37564
CAAN08,CAAN08_0707_0222_analyzed,7,8,2021,7/8/2021,162.2548,2.10174,1.47449,0.138858,14.83617,13.5633,100.9834,0.134311,1.41469
CAAN08,CAAN08_0707_0222_analyzed,7,8,2021,7/8/2021,162.5048,2.10181,1.47874,0.13755,14.81053,13.55545,100.981,0.13301,1.40101
CAAN08,CAAN08_0707_0222_analyzed,7,8,2021,7/8/2021,162.7548,2.10188,1.47813,0.138756,14.82543,13.57267,100.9747,0.128775,1.35647
CAAN08,CAAN08_0707_0222_analyzed,7,8,2021,7/8/2021,163.0048,2.10195,1.47932,0.138334,14.85668,13.56193,100.9687,0.131302,1.38305
CAAN08,CAAN08_0707_0222_analyzed,7,8,2021,7/8/2021,163.2548,2.10202,1.47743,0.13949,14.82963,13.5633,100.9956,0.128995,1.35879
CAAN08,CAAN08_0707_0222_analyzed,7,8,2021,7/8/2021,163.5048,2.10208,1.47921,0.138049,14.83832,13.49376,100.9851,0.134277,1.41433
CAAN08,CAAN08_0707_0222_analyzed,7,8,2021,7/8/2021,163.7548,2.10215,1.47715,0.136428,14.77201,13.4758,101.0052,0.133356,1.40465
CAAN08,CAAN08_0707_0222_analyzed,7,8,2021,7/8/2021,164.0048,2.10222,1.47618,0.137401,14.89896,13.56496,100.9869,0.133164,1.40263
CAAN08,CAAN08_0707_0222_analyzed,7,8,2021,7/8/2021,164.2548,2.10229,1.47904,0.138623,14.82735,13.57953,100.9842,0.135078,1.42275
CAAN08,CAAN08_0707_0222_analyzed,7,8,2021,7/8/2021,164.5048,2.10236,1.47978,0.140256,14.77855,13.49406,100.9628,0.133043,1.40135
CAAN08,CAAN08_0707_0222_analyzed,7,8,2021,7/8/2021,164.7548,2.10243,1.47927,0.141303,14.80951,13.50431,100.9858,0.133216,1.40318
CAAN08,CAAN08_0707_0222_analyzed,7,8,2021,7/8/2021,165.0048,2.1025,1.4822,0.139725,14.76674,13.5049,100.9902,0.133629,1.40752
CAAN08,CAAN08_0707_0222_analyzed,7,8,2021,7/8/2021,165.2549,2.10257,1.47941,0.138451,14.8266,13.52414,100.9732,0.132109,1.39153
CAAN08,CAAN08_0707_0222_analyzed,7,8,2021,7/8/2021,165.5049,2.10264,1.47842,0.139473,14.81191,13.57457,100.9966,0.131469,1.3848
CAAN08,CAAN08_0707_0222_analyzed,7,8,2021,7/8/2021,165.7549,2.10271,1.48042,0.140725,14.8264,13.57775,100.9592,0.134239,1.41393
