BirdID,File,Month,Day,Year,date,ElapsedTime_sec,Time_hours,WVP_kPa,VCO2_dPerc,ChamberTemp_C,AmbientTemp_C,BP_kPa,VO2_dPerc,VO2_ml_min
CAAN13,CAAN13_0719_2212_analyzed,7,19,2021,7/19/2021,145.5049,22.15403,1.47433,0.110145,21.69326,20.75952,101.2116,0.069555,0.7337
CAAN13,CAAN13_0719_2212_analyzed,7,19,2021,7/19/2021,145.7549,22.1541,1.474,0.108037,21.70805,20.77474,101.1907,0.066475,0.70124
CAAN13,CAAN13_0719_2212_analyzed,7,19,2021,7/19/2021,146.0049,22.15417,1.47691,0.109439,21.68967,20.78893,101.193,0.070156,0.74003
CAAN13,CAAN13_0719_2212_analyzed,7,19,2021,7/19/2021,146.2549,22.15424,1.475,0.110586,21.74482,20.80529,101.203,0.067398,0.71097
CAAN13,CAAN13_0719_2212_analyzed,7,19,2021,7/19/2021,146.5049,22.15431,1.47423,0.109861,21.698,20.7804,101.195,0.067123,0.70807
CAAN13,CAAN13_0719_2212_analyzed,7,19,2021,7/19/2021,146.7549,22.15438,1.47573,0.110763,21.68977,20.71466,101.1822,0.070012,0.73852
CAAN13,CAAN13_0719_2212_analyzed,7,19,2021,7/19/2021,147.0049,22.15445,1.47518,0.110035,21.66302,20.77799,101.2086,0.070522,0.74389
CAAN13,CAAN13_0719_2212_analyzed,7,19,2021,7/19/2021,147.2549,22.15452,1.476,0.110693,21.66626,20.72513,101.2408,0.070672,0.74547
CAAN13,CAAN13_0719_2212_analyzed,7,19,2021,7/19/2021,147.505,22.15458,1.47641,0.107255,21.65576,20.79821,101.1918,0.067282,0.70974
CAAN13,CAAN13_0719_2212_analyzed,7,19,2021,7/19/2021,147.755,22.15465,1.47638,0.109391,21.73711,20.78102,101.2027,0.073881,0.77929
CAAN13,CAAN13_0719_2212_analyzed,7,19,2021,7/19/2021,148.005,22.15472,1.47546,0.105638,21.71128,20.76146,101.2288,0.071794,0.7573
CAAN13,CAAN13_0719_2212_analyzed,7,19,2021,7/19/2021,148.255,22.15479,1.47559,0.109557,21.73012,20.73874,101.207,0.069978,0.73816
CAAN13,CAAN13_0719_2212_analyzed,7,19,2021,7/19/2021,148.505,22.15486,1.47694,0.110642,21.68383,20.79515,101.1772,0.07217,0.76126
CAAN13,CAAN13_0719_2212_analyzed,7,19,2021,7/19/2021,148.755,22.15493,1.47595,0.110755,21.66541,20.812,101.2005,0.073659,0.77695
CAAN13,CAAN13_0719_2212_analyzed,7,19,2021,7/19/2021,149.005,22.155,1.47632,0.108847,21.68499,20.74352,101.1953,0.072165000000000007,0.7612
CAAN13,CAAN13_0719_2212_analyzed,7,19,2021,7/19/2021,149.255,22.15507,1.47732,0.107775,21.68208,20.7596,101.2059,0.072437,0.76407
CAAN13,CAAN13_0719_2212_analyzed,7,19,2021,7/19/2021,149.505,22.15514,1.47872,0.110105,21.7383,20.71227,101.2239,0.071305,0.75214
CAAN13,CAAN13_0719_2212_analyzed,7,19,2021,7/19/2021,149.755,22.15521,1.47618,0.109336,21.66753,20.79481,101.189,0.073754,0.77795
CAAN13,CAAN13_0719_2212_analyzed,7,19,2021,7/19/2021,150.005,22.15528,1.47704,0.11001,21.65434,20.77503,101.2011,0.073833,0.77878
CAAN13,CAAN13_0719_2212_analyzed,7,19,2021,7/19/2021,150.2551,22.15535,1.4761,0.110351,21.67396,20.77257,101.2124,0.07487,0.78971
CAAN13,CAAN13_0719_2212_analyzed,7,19,2021,7/19/2021,150.5051,22.15542,1.47835,0.109597,21.65613,20.80667,101.2025,0.069548,0.73363
