BirdID,File,Month,Day,Year,date,ElapsedTime_sec,Time_hours,WVP_kPa,VCO2_dPerc,ChamberTemp_C,AmbientTemp_C,BP_kPa,VO2_dPerc,VO2_ml_min
CAAN09,CAAN09_0708_2155_analyzed,7,8,2021,7/8/2021,130.7544,21.39104,2.01144,0.26343,22.24468,21.21224,100.9536,0.3289,3.44599
CAAN09,CAAN09_0708_2155_analyzed,7,8,2021,7/8/2021,131.0044,21.39111,2.01131,0.26056,22.26036,21.23452,100.9622,0.32786,3.43518
CAAN09,CAAN09_0708_2155_analyzed,7,8,2021,7/8/2021,131.2544,21.39118,2.01059,0.26414,22.23619,21.23265,100.9281,0.32828,3.43959
CAAN09,CAAN09_0708_2155_analyzed,7,8,2021,7/8/2021,131.5044,21.39125,2.01012,0.26316,22.18776,21.18379,100.9339,0.33136,3.47164
CAAN09,CAAN09_0708_2155_analyzed,7,8,2021,7/8/2021,131.7544,21.39132,2.01033,0.26309,22.2168,21.22965,100.9238,0.33091,3.46703
CAAN09,CAAN09_0708_2155_analyzed,7,8,2021,7/8/2021,132.0044,21.39139,2.00658,0.26316,22.2313,21.24281,100.9521,0.33099,3.46778
CAAN09,CAAN09_0708_2155_analyzed,7,8,2021,7/8/2021,132.2544,21.39146,2.00963,0.26452,22.22498,21.26623,100.9183,0.3289,3.44605
CAAN09,CAAN09_0708_2155_analyzed,7,8,2021,7/8/2021,132.5045,21.39153,2.00905,0.26317,22.23794,21.25217,100.9447,0.32966,3.45399
CAAN09,CAAN09_0708_2155_analyzed,7,8,2021,7/8/2021,132.7545,21.3916,2.01081,0.26328,22.18052,21.24623,100.9413,0.33192,3.47752
CAAN09,CAAN09_0708_2155_analyzed,7,8,2021,7/8/2021,133.0045,21.39167,2.01086,0.26087,22.17498,21.24436,100.941,0.33033,3.46097
CAAN09,CAAN09_0708_2155_analyzed,7,8,2021,7/8/2021,133.2545,21.39174,2.01071,0.26303,22.1647,21.16752,100.9389,0.33007,3.45819
CAAN09,CAAN09_0708_2155_analyzed,7,8,2021,7/8/2021,133.5045,21.39181,2.00871,0.26104,22.20412,21.26164,100.9502,0.32936,3.45078
CAAN09,CAAN09_0708_2155_analyzed,7,8,2021,7/8/2021,133.7545,21.39188,2.00832,0.26149,22.23463,21.20226,100.9455,0.33233,3.48184
CAAN09,CAAN09_0708_2155_analyzed,7,8,2021,7/8/2021,134.0045,21.39195,2.01098,0.2627,22.22121,21.20741,100.9502,0.32975,3.45488
CAAN09,CAAN09_0708_2155_analyzed,7,8,2021,7/8/2021,134.2545,21.39202,2.00824,0.2636,22.21412,21.2599,100.9553,0.32869,3.44387
CAAN09,CAAN09_0708_2155_analyzed,7,8,2021,7/8/2021,134.5045,21.39208,2.0088,0.26347,22.23408,21.23535,100.9537,0.33016,3.45912
CAAN09,CAAN09_0708_2155_analyzed,7,8,2021,7/8/2021,134.7545,21.39215,2.0082,0.26088,22.24088,21.28178,100.9704,0.33003,3.45786
CAAN09,CAAN09_0708_2155_analyzed,7,8,2021,7/8/2021,135.0045,21.39222,2.00891,0.26239,22.22967,21.17478,100.9257,0.33013,3.45885
CAAN09,CAAN09_0708_2155_analyzed,7,8,2021,7/8/2021,135.2545,21.39229,2.01092,0.26034,22.19694,21.24325,100.9369,0.33275,3.48617
CAAN09,CAAN09_0708_2155_analyzed,7,8,2021,7/8/2021,135.5046,21.39236,2.00882,0.26163,22.22955,21.26371,100.9672,0.33025,3.46011
CAAN09,CAAN09_0708_2155_analyzed,7,8,2021,7/8/2021,135.7546,21.39243,2.01055,0.26172,22.21901,21.2416,100.9118,0.32751,3.43148
CAAN09,CAAN09_0708_2155_analyzed,7,8,2021,7/8/2021,136.0046,21.3925,2.01009,0.25981,22.26177,21.2765,100.9418,0.32704,3.42661
CAAN09,CAAN09_0708_2155_analyzed,7,8,2021,7/8/2021,136.2546,21.39257,2.00894,0.2612,22.24465,21.24886,100.9315,0.32855,3.44234
CAAN09,CAAN09_0708_2155_analyzed,7,8,2021,7/8/2021,136.5046,21.39264,2.01031,0.2604,22.25099,21.24344,100.9206,0.33067,3.46453
CAAN09,CAAN09_0708_2155_analyzed,7,8,2021,7/8/2021,136.7546,21.39271,2.01029,0.26082,22.26236,21.18353,100.9549,0.32977,3.4551
CAAN09,CAAN09_0708_2155_analyzed,7,8,2021,7/8/2021,137.0046,21.39278,2.01103,0.26056,22.25081,21.27405,100.9444,0.32593,3.41506
CAAN09,CAAN09_0708_2155_analyzed,7,8,2021,7/8/2021,137.2546,21.39285,2.01077,0.25638,22.26992,21.27855,100.9534,0.32765,3.43294
CAAN09,CAAN09_0708_2155_analyzed,7,8,2021,7/8/2021,137.5046,21.39292,2.01272,0.25936,22.26598,21.25014,100.9638,0.33061,3.46388
CAAN09,CAAN09_0708_2155_analyzed,7,8,2021,7/8/2021,137.7546,21.39299,2.01083,0.25879,22.25292,21.22882,100.9434,0.33254,3.48403
CAAN09,CAAN09_0708_2155_analyzed,7,8,2021,7/8/2021,138.0046,21.39306,2.00962,0.25717,22.26073,21.25971,100.9318,0.32512,3.40652
CAAN09,CAAN09_0708_2155_analyzed,7,8,2021,7/8/2021,138.2547,21.39313,2.01053,0.25554,22.2192,21.24984,100.924,0.33351,3.49415
CAAN09,CAAN09_0708_2155_analyzed,7,8,2021,7/8/2021,138.5047,21.3932,2.01015,0.25658,22.23399,21.21384,100.9344,0.32998,3.45728
CAAN09,CAAN09_0708_2155_analyzed,7,8,2021,7/8/2021,138.7547,21.39327,2.01105,0.25465,22.2225,21.26486,100.9481,0.3301,3.45851
CAAN09,CAAN09_0708_2155_analyzed,7,8,2021,7/8/2021,139.0047,21.39333,2.00977,0.25598,22.24576,21.27113,100.9368,0.32999,3.45743
CAAN09,CAAN09_0708_2155_analyzed,7,8,2021,7/8/2021,139.2547,21.3934,2.0103,0.25557,22.23527,21.23268,100.9168,0.32968,3.45417
CAAN09,CAAN09_0708_2155_analyzed,7,8,2021,7/8/2021,139.5047,21.39347,2.0107,0.25596,22.22037,21.22455,100.9365,0.32694,3.42561
CAAN09,CAAN09_0708_2155_analyzed,7,8,2021,7/8/2021,139.7547,21.39354,2.00936,0.25487,22.30706,21.26348,100.9389,0.3275,3.43137
CAAN09,CAAN09_0708_2155_analyzed,7,8,2021,7/8/2021,140.0047,21.39361,2.00974,0.25379,22.2588,21.27019,100.9512,0.3287,3.44392
CAAN09,CAAN09_0708_2155_analyzed,7,8,2021,7/8/2021,140.2547,21.39368,2.01115,0.25633,22.31148,21.27601,100.9392,0.32916,3.4487
CAAN09,CAAN09_0708_2155_analyzed,7,8,2021,7/8/2021,140.5047,21.39375,2.01032,0.25648,22.26275,21.26972,100.9479,0.32889,3.4459
CAAN09,CAAN09_0708_2155_analyzed,7,8,2021,7/8/2021,140.7547,21.39382,2.00871,0.25419,22.30421,21.28315,100.9527,0.33024,3.46004
CAAN09,CAAN09_0708_2155_analyzed,7,8,2021,7/8/2021,141.0047,21.39389,2.00898,0.25398,22.3192,21.3433,100.9358,0.3275,3.43139
CAAN09,CAAN09_0708_2155_analyzed,7,8,2021,7/8/2021,141.2547,21.39396,2.00942,0.25531,22.33555,21.31458,100.9277,0.32762,3.43263
CAAN09,CAAN09_0708_2155_analyzed,7,8,2021,7/8/2021,141.5048,21.39403,2.01057,0.25609,22.33748,21.26403,100.9255,0.33143,3.47242
CAAN09,CAAN09_0708_2155_analyzed,7,8,2021,7/8/2021,141.7548,21.3941,2.00869,0.25491,22.33687,21.25775,100.9355,0.32864,3.44328
CAAN09,CAAN09_0708_2155_analyzed,7,8,2021,7/8/2021,142.0048,21.39417,2.00939,0.25502,22.32002,21.32055,100.9677,0.32975,3.45484
CAAN09,CAAN09_0708_2155_analyzed,7,8,2021,7/8/2021,142.2548,21.39424,2.00898,0.25474,22.34976,21.20687,100.9257,0.32748,3.43123
CAAN09,CAAN09_0708_2155_analyzed,7,8,2021,7/8/2021,142.5048,21.39431,2.00884,0.25612,22.26947,21.32947,100.9465,0.32894,3.44647
CAAN09,CAAN09_0708_2155_analyzed,7,8,2021,7/8/2021,142.7548,21.39438,2.0081,0.25533,22.32406,21.2746,100.9399,0.32741,3.43049
