BirdID,File,Month,Day,Year,date,ElapsedTime_sec,Time_hours,WVP_kPa,VCO2_dPerc,ChamberTemp_C,AmbientTemp_C,BP_kPa,VO2_dPerc,VO2_ml_min
CAAN13,CAAN13_0719_2206_analyzed,7,19,2021,7/19/2021,170.7557,21.56577,1.52617,0.110033,22.9154,22.17408,101.1491,0.088134,0.92922
CAAN13,CAAN13_0719_2206_analyzed,7,19,2021,7/19/2021,171.0058,21.56583,1.52503,0.112469,22.89163,22.18196,101.1671,0.089942,0.94826
CAAN13,CAAN13_0719_2206_analyzed,7,19,2021,7/19/2021,171.2558,21.5659,1.52658,0.112395,22.90413,22.22351,101.1682,0.08872,0.93539
CAAN13,CAAN13_0719_2206_analyzed,7,19,2021,7/19/2021,171.5058,21.56597,1.52485,0.11001,22.85172,22.20757,101.1517,0.087211,0.91949
CAAN13,CAAN13_0719_2206_analyzed,7,19,2021,7/19/2021,171.7558,21.56604,1.52559,0.113671,22.91359,22.22039,101.174,0.0915,0.96467
CAAN13,CAAN13_0719_2206_analyzed,7,19,2021,7/19/2021,172.0058,21.56611,1.52759,0.111535,22.8681,22.15154,101.1676,0.090246,0.95146
CAAN13,CAAN13_0719_2206_analyzed,7,19,2021,7/19/2021,172.2558,21.56618,1.5267,0.110908,22.88708,22.08775,101.1362,0.087675,0.92438
CAAN13,CAAN13_0719_2206_analyzed,7,19,2021,7/19/2021,172.5058,21.56625,1.52634,0.11184,22.89043,22.22516,101.2095,0.091436,0.96399
CAAN13,CAAN13_0719_2206_analyzed,7,19,2021,7/19/2021,172.7558,21.56632,1.52462,0.111116,22.87435,22.22774,101.1496,0.087575,0.92333
CAAN13,CAAN13_0719_2206_analyzed,7,19,2021,7/19/2021,173.0058,21.56639,1.52752,0.111131,22.986,22.21392,101.1675,0.088363,0.93163
CAAN13,CAAN13_0719_2206_analyzed,7,19,2021,7/19/2021,173.2558,21.56646,1.52476,0.110844,22.88786,22.19502,101.158,0.090576,0.95494
