BirdID,File,Month,Day,Year,date,ElapsedTime_sec,Time_hours,WVP_kPa,VCO2_dPerc,ChamberTemp_C,AmbientTemp_C,BP_kPa,VO2_dPerc,VO2_ml_min
CAAN12,CAAN12_0713_2212_analyzed,7,13,2021,7/13/2021,160.0054,21.68056,1.34175,0.1113,23.99477,23.40588,100.7987,0.099452,1.05032
CAAN12,CAAN12_0713_2212_analyzed,7,13,2021,7/13/2021,160.2554,21.68063,1.34354,0.112142,24.00848,23.3992,100.8131,0.101755,1.07461
CAAN12,CAAN12_0713_2212_analyzed,7,13,2021,7/13/2021,160.5054,21.6807,1.34327,0.114436,24.00525,23.4068,100.8031,0.100142,1.0576
CAAN12,CAAN12_0713_2212_analyzed,7,13,2021,7/13/2021,160.7554,21.68077,1.34186,0.113976,24.01499,23.39182,100.7944,0.103447,1.09245
CAAN12,CAAN12_0713_2212_analyzed,7,13,2021,7/13/2021,161.0054,21.68083,1.34506,0.109494,24.00204,23.42693,100.8014,0.100531,1.0617
CAAN12,CAAN12_0713_2212_analyzed,7,13,2021,7/13/2021,161.2554,21.6809,1.34229,0.113344,24.00947,23.41388,100.7996,0.10235,1.08088
CAAN12,CAAN12_0713_2212_analyzed,7,13,2021,7/13/2021,161.5054,21.68097,1.34376,0.115373,23.99606,23.36682,100.803,0.102782,1.08544
CAAN12,CAAN12_0713_2212_analyzed,7,13,2021,7/13/2021,161.7554,21.68104,1.34201,0.113279,24.05301,23.31482,100.8094,0.102633,1.0838699999999999
CAAN12,CAAN12_0713_2212_analyzed,7,13,2021,7/13/2021,162.0054,21.68111,1.34052,0.114127,23.99017,23.41525,100.7947,0.100224,1.05846
CAAN12,CAAN12_0713_2212_analyzed,7,13,2021,7/13/2021,162.2554,21.68118,1.34337,0.114414,24.00175,23.40386,100.7881,0.101148,1.0682
CAAN12,CAAN12_0713_2212_analyzed,7,13,2021,7/13/2021,162.5055,21.68125,1.34431,0.112771,24.07206,23.37536,100.8314,0.102512,1.08259
CAAN12,CAAN12_0713_2212_analyzed,7,13,2021,7/13/2021,162.7555,21.68132,1.34398,0.113763,23.97013,23.4272,100.7896,0.101558,1.07253
CAAN12,CAAN12_0713_2212_analyzed,7,13,2021,7/13/2021,163.0055,21.68139,1.34046,0.114318,24.06034,23.34568,100.8181,0.099535,1.05119
CAAN12,CAAN12_0713_2212_analyzed,7,13,2021,7/13/2021,163.2555,21.68146,1.34218,0.115465,23.98475,23.40055,100.7892,0.100139,1.05757
CAAN12,CAAN12_0713_2212_analyzed,7,13,2021,7/13/2021,163.5055,21.68153,1.34386,0.11455,24.02188,23.44448,100.802,0.10286,1.08626
CAAN12,CAAN12_0713_2212_analyzed,7,13,2021,7/13/2021,163.7555,21.6816,1.33908,0.11431,24.02274,23.40232,100.7987,0.100972,1.06635
CAAN12,CAAN12_0713_2212_analyzed,7,13,2021,7/13/2021,164.0055,21.68167,1.33983,0.114425,24.06177,23.39945,100.786,0.105825,1.11754
CAAN12,CAAN12_0713_2212_analyzed,7,13,2021,7/13/2021,164.2555,21.68174,1.34164,0.114701,24.04628,23.38738,100.7852,0.102701,1.08459
CAAN12,CAAN12_0713_2212_analyzed,7,13,2021,7/13/2021,164.5055,21.68181,1.34187,0.112388,23.99302,23.43777,100.8088,0.104094,1.09928
CAAN12,CAAN12_0713_2212_analyzed,7,13,2021,7/13/2021,164.7555,21.68188,1.3431,0.113303,24.02868,23.39503,100.8045,0.102008,1.07728
CAAN12,CAAN12_0713_2212_analyzed,7,13,2021,7/13/2021,165.0056,21.68195,1.34262,0.11381,24.01249,23.38123,100.8145,0.102054,1.07776
CAAN12,CAAN12_0713_2212_analyzed,7,13,2021,7/13/2021,165.2556,21.68202,1.34534,0.114252,24.02336,23.47215,100.7841,0.101724,1.07429
CAAN12,CAAN12_0713_2212_analyzed,7,13,2021,7/13/2021,165.5056,21.68208,1.34372,0.113711,24.03126,23.35827,100.812,0.103963,1.0979
