BirdID,File,Month,Day,Year,date,ElapsedTime_sec,Time_hours,WVP_kPa,VCO2_dPerc,ChamberTemp_C,AmbientTemp_C,BP_kPa,VO2_dPerc,VO2_ml_min
CAAN04,CAAN04_0628_2318_analyzed,6,28,2021,6/28/2021,0,23.1125,1.82173,0.05909,23.35237,26.21057,100.1613,0.25168,2.52461
CAAN04,CAAN04_0628_2318_analyzed,6,28,2021,6/28/2021,0.25001,23.11257,1.82173,0.05909,23.35237,26.21057,100.1613,-5.19e-4,-0.00522
CAAN04,CAAN04_0628_2318_analyzed,6,28,2021,6/28/2021,0.50001,23.11264,1.82222,0.060422,23.3888,26.21864,100.1677,0.00288,0.029
CAAN04,CAAN04_0628_2318_analyzed,6,28,2021,6/28/2021,0.75002,23.11271,1.8177,0.06034,23.42291,26.23746,100.1511,0.00512,0.051528
CAAN04,CAAN04_0628_2318_analyzed,6,28,2021,6/28/2021,1.00002,23.11278,1.8195,0.061847,23.29516,26.16166,100.1345,9.84e-4,0.0098968
CAAN04,CAAN04_0628_2318_analyzed,6,28,2021,6/28/2021,1.25003,23.11285,1.82077,0.060528,23.32269,26.2291,100.1424,2.87e-5,2.89e-4
CAAN04,CAAN04_0628_2318_analyzed,6,28,2021,6/28/2021,1.50003,23.11292,1.81568,0.060259,23.36766,26.21177,100.1304,0.0032,0.032195
CAAN04,CAAN04_0628_2318_analyzed,6,28,2021,6/28/2021,1.75004,23.11299,1.81818,0.061117,23.36208,26.22295,100.1466,0.00312,0.031369
CAAN04,CAAN04_0628_2318_analyzed,6,28,2021,6/28/2021,2.00004,23.11306,1.81943,0.06283,23.34943,26.22739,100.1421,7.18e-4,0.00722
CAAN04,CAAN04_0628_2318_analyzed,6,28,2021,6/28/2021,2.25005,23.11313,1.82251,0.059104,23.37614,26.20878,100.1573,0.00111,0.0111297
CAAN04,CAAN04_0628_2318_analyzed,6,28,2021,6/28/2021,2.50005,23.11319,1.81731,0.060005,23.30276,26.28697,100.1588,-2.33e-4,-0.00234
CAAN04,CAAN04_0628_2318_analyzed,6,28,2021,6/28/2021,2.75006,23.11326,1.81801,0.060746,23.40204,26.23679,100.1394,0.002,0.0200858
CAAN04,CAAN04_0628_2318_analyzed,6,28,2021,6/28/2021,3.00006,23.11333,1.8177,0.063234,23.32391,26.23124,100.1403,-0.00309,-0.0310947
CAAN04,CAAN04_0628_2318_analyzed,6,28,2021,6/28/2021,3.25007,23.1134,1.81991,0.059456,23.36454,26.22485,100.1924,2.35e-5,2.36e-4
CAAN04,CAAN04_0628_2318_analyzed,6,28,2021,6/28/2021,3.50007,23.11347,1.81894,0.062159,23.37443,26.27416,100.1422,0.00575,0.057873
CAAN04,CAAN04_0628_2318_analyzed,6,28,2021,6/28/2021,3.75008,23.11354,1.81924,0.060595,23.34601,26.22184,100.1983,4e-4,0.00403
CAAN04,CAAN04_0628_2318_analyzed,6,28,2021,6/28/2021,4.00008,23.11361,1.81659,0.06018,23.36755,26.24937,100.193,8.89e-4,0.0089465
CAAN04,CAAN04_0628_2318_analyzed,6,28,2021,6/28/2021,4.25009,23.11368,1.82269,0.060238,23.37662,26.21249,100.1427,0.00273,0.0274371
CAAN04,CAAN04_0628_2318_analyzed,6,28,2021,6/28/2021,4.50009,23.11375,1.81873,0.060626,23.36543,26.22719,100.1623,-0.0017,-0.0171288
CAAN04,CAAN04_0628_2318_analyzed,6,28,2021,6/28/2021,4.7501,23.11382,1.81782,0.061055,23.3461,26.20051,100.1235,0.00279,0.0280374
CAAN04,CAAN04_0628_2318_analyzed,6,28,2021,6/28/2021,5.0001,23.11389,1.81681,0.062309,23.36588,26.18992,100.1539,-0.00148,-0.0148524
CAAN04,CAAN04_0628_2318_analyzed,6,28,2021,6/28/2021,5.25011,23.11396,1.81748,0.058147,23.36078,26.24427,100.1531,0.00158,0.0158532
CAAN04,CAAN04_0628_2318_analyzed,6,28,2021,6/28/2021,5.50012,23.11403,1.81715,0.060465,23.35628,26.25376,100.1394,0.00291,0.0292588
