BirdID,File,Month,Day,Year,date,ElapsedTime_sec,Time_hours,WVP_kPa,VCO2_dPerc,ChamberTemp_C,AmbientTemp_C,BP_kPa,VO2_dPerc,VO2_ml_min
CAAN07,CAAN07_0706_2203_analyzed,7,6,2021,7/6/2021,172.0043,21.50306,1.77205,0.109525,23.916,22.12466,100.5165,0.081526,0.85758
CAAN07,CAAN07_0706_2203_analyzed,7,6,2021,7/6/2021,172.2543,21.50313,1.7762,0.110803,23.90589,22.19575,100.51,0.07954,0.83672
CAAN07,CAAN07_0706_2203_analyzed,7,6,2021,7/6/2021,172.5043,21.5032,1.77434,0.109802,23.87879,22.1816,100.5027,0.078323,0.82392
CAAN07,CAAN07_0706_2203_analyzed,7,6,2021,7/6/2021,172.7543,21.50327,1.77499,0.109572,23.83934,22.20825,100.514,0.084311,0.88684
CAAN07,CAAN07_0706_2203_analyzed,7,6,2021,7/6/2021,173.0043,21.50333,1.77381,0.109869,23.88094,22.14107,100.521,0.083426,0.87754
CAAN07,CAAN07_0706_2203_analyzed,7,6,2021,7/6/2021,173.2544,21.5034,1.774,0.108579,23.89082,22.17084,100.489,0.081116,0.85328
CAAN07,CAAN07_0706_2203_analyzed,7,6,2021,7/6/2021,173.5044,21.50347,1.77329,0.109541,23.84119,22.18179,100.5049,0.08364,0.8798
CAAN07,CAAN07_0706_2203_analyzed,7,6,2021,7/6/2021,173.7544,21.50354,1.77487,0.109634,23.85102,22.17948,100.52,0.080349,0.84521
CAAN07,CAAN07_0706_2203_analyzed,7,6,2021,7/6/2021,174.0044,21.50361,1.7754,0.109955,23.86961,22.14585,100.5024,0.079837,0.83983
CAAN07,CAAN07_0706_2203_analyzed,7,6,2021,7/6/2021,174.2544,21.50368,1.77543,0.108024,23.86388,22.19447,100.5113,0.081387,0.85613
CAAN07,CAAN07_0706_2203_analyzed,7,6,2021,7/6/2021,174.5044,21.50375,1.77435,0.11083,23.85975,22.11392,100.4885,0.081492,0.85722
CAAN07,CAAN07_0706_2203_analyzed,7,6,2021,7/6/2021,174.7544,21.50382,1.77697,0.110858,23.866,22.15411,100.5033,0.079586,0.83719
CAAN07,CAAN07_0706_2203_analyzed,7,6,2021,7/6/2021,175.0044,21.50389,1.7762,0.112373,23.8534,22.14511,100.5068,0.083786,0.88133
CAAN07,CAAN07_0706_2203_analyzed,7,6,2021,7/6/2021,175.2544,21.50396,1.77546,0.110881,23.86609,22.15836,100.5033,0.082112,0.86374
CAAN07,CAAN07_0706_2203_analyzed,7,6,2021,7/6/2021,175.5044,21.50403,1.77601,0.110891,23.85249,22.18794,100.5052,0.081442,0.8567
CAAN07,CAAN07_0706_2203_analyzed,7,6,2021,7/6/2021,175.7544,21.5041,1.77806,0.111943,23.86189,22.15699,100.512,0.080056,0.84213
CAAN07,CAAN07_0706_2203_analyzed,7,6,2021,7/6/2021,176.0044,21.50417,1.77634,0.109785,23.81048,22.15044,100.5049,0.08334,0.87665
CAAN07,CAAN07_0706_2203_analyzed,7,6,2021,7/6/2021,176.2544,21.50424,1.7737,0.110334,23.86248,22.13765,100.527,0.08155,0.85783
CAAN07,CAAN07_0706_2203_analyzed,7,6,2021,7/6/2021,176.5044,21.50431,1.77791,0.109373,23.90396,22.14336,100.5101,0.081819,0.86066
CAAN07,CAAN07_0706_2203_analyzed,7,6,2021,7/6/2021,176.7544,21.50438,1.77553,0.109927,23.88113,22.1565,100.5104,0.081652,0.85891
CAAN07,CAAN07_0706_2203_analyzed,7,6,2021,7/6/2021,177.0045,21.50445,1.77538,0.110263,23.84917,22.13316,100.5418,0.085803,0.90252
CAAN07,CAAN07_0706_2203_analyzed,7,6,2021,7/6/2021,177.2545,21.50452,1.77548,0.109627,23.87186,22.1606,100.5132,0.080124,0.84284
CAAN07,CAAN07_0706_2203_analyzed,7,6,2021,7/6/2021,177.5045,21.50458,1.77797,0.10934,23.87556,22.14143,100.5062,0.081488,0.85718
CAAN07,CAAN07_0706_2203_analyzed,7,6,2021,7/6/2021,177.7545,21.50465,1.77592,0.110266,23.84917,22.13656,100.4938,0.085468,0.899
CAAN07,CAAN07_0706_2203_analyzed,7,6,2021,7/6/2021,178.0045,21.50472,1.77645,0.110951,23.85096,22.13941,100.5025,0.082565,0.8685
CAAN07,CAAN07_0706_2203_analyzed,7,6,2021,7/6/2021,178.2545,21.50479,1.7771,0.110009,23.85626,22.12617,100.5282,0.083013,0.87321
CAAN07,CAAN07_0706_2203_analyzed,7,6,2021,7/6/2021,178.5045,21.50486,1.77725,0.110974,23.80447,22.09175,100.53,0.080675,0.84864
CAAN07,CAAN07_0706_2203_analyzed,7,6,2021,7/6/2021,178.7545,21.50493,1.77633,0.109862,23.85892,22.1452,100.5269,0.082609,0.86896
CAAN07,CAAN07_0706_2203_analyzed,7,6,2021,7/6/2021,179.0045,21.505,1.77712,0.110549,23.83934,22.0983,100.5257,0.082404,0.8668
CAAN07,CAAN07_0706_2203_analyzed,7,6,2021,7/6/2021,179.2545,21.50507,1.77648,0.113318,23.79734,22.09097,100.5301,0.082554,0.86838
CAAN07,CAAN07_0706_2203_analyzed,7,6,2021,7/6/2021,179.5045,21.50514,1.77913,0.112654,23.8574,22.11451,100.4862,0.079703,0.83843
CAAN07,CAAN07_0706_2203_analyzed,7,6,2021,7/6/2021,179.7545,21.50521,1.7772,0.110002,23.86113,22.13077,100.5058,0.081529,0.85761
CAAN07,CAAN07_0706_2203_analyzed,7,6,2021,7/6/2021,180.0045,21.50528,1.77639,0.111568,23.77976,22.09332,100.5441,0.078541,0.82622
CAAN07,CAAN07_0706_2203_analyzed,7,6,2021,7/6/2021,180.2545,21.50535,1.77712,0.111483,23.80938,22.07176,100.5041,0.081749,0.85993
CAAN07,CAAN07_0706_2203_analyzed,7,6,2021,7/6/2021,180.5045,21.50542,1.77807,0.112638,23.82586,22.1067,100.5295,0.080138,0.84299
CAAN07,CAAN07_0706_2203_analyzed,7,6,2021,7/6/2021,180.7545,21.505490000000002,1.77811,0.111568,23.8172,22.13481,100.5211,0.08497,0.89378
CAAN07,CAAN07_0706_2203_analyzed,7,6,2021,7/6/2021,181.0045,21.50556,1.77759,0.109635,23.79754,22.19771,100.4811,0.081778,0.86023
CAAN07,CAAN07_0706_2203_analyzed,7,6,2021,7/6/2021,181.2546,21.50563,1.77962,0.109583,23.86462,22.13095,100.5101,0.082659,0.86948
CAAN07,CAAN07_0706_2203_analyzed,7,6,2021,7/6/2021,181.5046,21.5057,1.77625,0.11006,23.79422,22.10073,100.527,0.081915,0.86167
CAAN07,CAAN07_0706_2203_analyzed,7,6,2021,7/6/2021,181.7546,21.50577,1.77676,0.110443,23.84403,22.16625,100.5076,0.082282,0.86552
CAAN07,CAAN07_0706_2203_analyzed,7,6,2021,7/6/2021,182.0046,21.50583,1.77859,0.109858,23.80295,22.15163,100.5173,0.080903,0.85103
CAAN07,CAAN07_0706_2203_analyzed,7,6,2021,7/6/2021,182.2546,21.5059,1.77808,0.109115,23.88231,22.13199,100.5069,0.083775,0.88121
CAAN07,CAAN07_0706_2203_analyzed,7,6,2021,7/6/2021,182.5046,21.50597,1.77822,0.110652,23.80773,22.07829,100.5049,0.085705,0.9015
CAAN07,CAAN07_0706_2203_analyzed,7,6,2021,7/6/2021,182.7546,21.50604,1.77953,0.109881,23.83758,22.10211,100.5059,0.083443,0.87772
CAAN07,CAAN07_0706_2203_analyzed,7,6,2021,7/6/2021,183.0046,21.50611,1.77797,0.107755,23.8694,22.11266,100.5207,0.082052,0.86311
CAAN07,CAAN07_0706_2203_analyzed,7,6,2021,7/6/2021,183.2546,21.50618,1.77566,0.11067,23.84442,22.09859,100.5175,0.082295,0.86567
CAAN07,CAAN07_0706_2203_analyzed,7,6,2021,7/6/2021,183.5046,21.50625,1.77756,0.108619,23.83282,22.14033,100.4922,0.081771,0.86016
CAAN07,CAAN07_0706_2203_analyzed,7,6,2021,7/6/2021,183.7546,21.50632,1.7769,0.110862,23.81443,22.11873,100.5216,0.079395,0.83519
CAAN07,CAAN07_0706_2203_analyzed,7,6,2021,7/6/2021,184.0046,21.50639,1.77743,0.108595,23.82479,22.08872,100.5014,0.08333,0.87654
CAAN07,CAAN07_0706_2203_analyzed,7,6,2021,7/6/2021,184.2546,21.50646,1.77973,0.107615,23.83602,22.1231,100.4976,0.084521,0.88906
CAAN07,CAAN07_0706_2203_analyzed,7,6,2021,7/6/2021,184.5046,21.50653,1.77838,0.110197,23.83889,22.10393,100.4953,0.080277,0.84446
CAAN07,CAAN07_0706_2203_analyzed,7,6,2021,7/6/2021,184.7547,21.5066,1.77858,0.109686,23.80653,22.12369,100.515,0.082732,0.87025
CAAN07,CAAN07_0706_2203_analyzed,7,6,2021,7/6/2021,185.0047,21.50667,1.77805,0.109537,23.8119,22.13208,100.513,0.083848,0.88198
CAAN07,CAAN07_0706_2203_analyzed,7,6,2021,7/6/2021,185.2547,21.50674,1.77839,0.109568,23.81324,22.15457,100.5009,0.079312,0.83432
CAAN07,CAAN07_0706_2203_analyzed,7,6,2021,7/6/2021,185.5047,21.50681,1.78106,0.110924,23.74139,22.13491,100.5023,0.080805,0.85001
