"gene","baseMean","log2FoldChange","lfcSE","pvalue","padj","diffexpressed"
"SMKR1",0.261902828383491,6.56573746826959e-05,0.145096574356576,0.983117538323396,1,"NO"
"LOC103529812",33.1179236280123,0.0189378168518683,0.0962558428825131,0.239818695704182,0.899911717245908,"NO"
"LOC115598734",10.8990751873383,-0.0104842297111717,0.093891886458603,0.427520335265913,0.97043184675035,"NO"
"LOC103529814",0.0787897649927742,5.21074961447834e-05,0.17238736890134,0.987341072901269,NA,"NO"
"LOC103529813",73.4505930054925,-0.0391563304330005,0.10201896804372,0.0946481050677421,0.757580089494916,"NO"
"LOC115599488",3.6934939175574,0.0274091489987384,0.152360140723331,0.0474099072025376,0.627240925717967,"NO"
"LOC115598737",4.27125146320667,-0.00920568427009261,0.102725115255079,0.38161572526589,0.952009649640783,"NO"
"LOC115598703",34.1351330559209,0.000284268449149646,0.0845127559135989,0.984765021281297,1,"NO"
"LOC115598738",30.6025568842146,-0.0380828486083888,0.104203651551097,0.0914526136286992,0.751873410304245,"NO"
"NRF1",105.065991884822,-6.04145344699328e-05,0.0595330137064164,0.997939438124385,1,"NO"
"UBE2H",846.232334874866,-0.0120863092300865,0.0717934047235178,0.591143204852134,0.991162220285184,"NO"
"ZC3HC1",618.111155184248,-0.0135523052796302,0.0656348256492031,0.570634876802776,0.991162220285184,"NO"
"KLHDC10",364.691600289153,-0.0193018145975649,0.0528411083310154,0.437295283062629,0.97043184675035,"NO"
"LOC103530713",3.01265015718925,0.0115877698599248,0.101805901280137,0.32552601765061,0.931545088284748,"NO"
"TMEM209",383.936184217921,-0.0211680224513258,0.069710961107375,0.394629242748806,0.956621517937431,"NO"
"CPA2",22367.1542461056,-0.0038092225086278,0.0938941023103691,0.729679628095074,1,"NO"
"CEP41",2.60879518927889,0.0105732928554932,0.0965930672541055,0.39839512640719,0.959321809461935,"NO"
"MEST",259.40787852586,-0.0100704831486954,0.0835090709781713,0.557820298170029,0.991162220285184,"NO"
"COPG2",845.779539299244,0.0112736098886619,0.0668090175309401,0.629874193589068,0.993693823444652,"NO"
"LOC115600467",1.70947965054625,0.012989463838986,0.111177887403864,0.228725515790599,0.892163496437277,"NO"
